Price,Close,High,Low,Open,Volume
Ticker,SEB,SEB,SEB,SEB,SEB
Date,,,,,
2021-09-14,3965.452880859375,4001.0818729360076,3902.7811986720126,4001.0818729360076,400
2021-09-15,3934.1123046875,3976.8848514116426,3884.7198985048162,3966.994502045333,600
2021-09-16,3927.541259765625,3952.1830632718184,3872.151356240564,3925.752839036188,700
2021-09-17,4030.22900390625,4048.0237187478733,3840.3958765678926,3895.775651721953,1700
2021-09-20,3951.16552734375,4019.320908079717,3864.36584759219,3958.2301996247356,500
2021-09-21,3963.0126953125,3971.9446691840208,3878.080305111264,3951.166034169467,500
2021-09-22,3960.8291015625,4049.061409681015,3921.554276046539,3974.4641835709617,600
2021-09-23,3982.0322265625,4070.7291218154287,3933.41052887918,3981.123301571575,700
2021-09-24,4021.554443359375,4041.1079111877816,3955.177584379917,4003.1175928832713,800
2021-09-27,4036.384521484375,4119.163029346513,3978.8209622817053,4044.368008912231,600
2021-09-28,3942.3125,4054.6436065665953,3895.2517546875033,4037.1451134083895,800
2021-09-29,4080.619384765625,4089.3139945715,3924.517801854291,3952.1830834383595,400
2021-09-30,4050.977783203125,4094.3427622809377,3994.1748034663287,4088.147696349222,500
2021-10-01,4034.87255859375,4059.8800548389604,3957.123295115609,4057.903963305819,400
2021-10-04,4032.818359375,4036.1677290270677,3930.278921145984,4034.8535507148986,700
2021-10-05,4049.00244140625,4054.7030030916007,3968.980372548281,4025.2792085225537,400
2021-10-06,4105.33056640625,4119.153559621864,3996.1218280721373,4052.470112663113,1000
2021-10-07,4165.89794921875,4194.008049495645,4036.167708861466,4105.330925414783,1100
2021-10-08,4164.603515625,4199.185119600766,4100.044273169294,4157.677063500557,300
2021-10-11,4065.334228515625,4199.165225241646,4065.3240971866107,4140.0600166602435,600
2021-10-12,4117.1787109375,4347.403115726795,4064.821913204553,4099.887903090859,1900
2021-10-13,4228.2529296875,4243.547858282485,4082.6049543188724,4121.198078406682,600
2021-10-14,4129.06396484375,4289.848669203365,4126.080046661657,4248.59774919663,600
2021-10-15,4080.657958984375,4163.249022836609,4033.212228849288,4064.819799508199,800
2021-10-18,4132.0078125,4149.772857876727,4033.2032258787663,4052.4209109543044,600
2021-10-19,4169.54345703125,4175.056347117208,4114.054652784593,4142.875870403839,400
2021-10-20,4144.873046875,4216.140694169134,4109.7776311453745,4167.756348254993,500
2021-10-21,4069.76953125,4171.074118179852,4054.099262902863,4171.074118179852,400
2021-10-22,4076.706787109375,4126.079652700338,4036.177366468188,4095.865132075446,500
2021-10-25,3986.9228515625,4100.390119442655,3985.6877942976075,4074.137915900031,500
2021-10-26,3921.5048828125,4036.859246233782,3891.5079431776758,3986.9431460791093,900
2021-10-27,3837.520751953125,3959.7320891025993,3819.696365661149,3922.394037879516,1100
2021-10-28,3890.3212890625,3942.2925911945545,3803.9760784481264,3853.4179256061416,900
2021-10-29,3803.99658203125,3932.2746613469208,3803.976801815027,3884.7792263077713,900
2021-11-01,3952.993408203125,3998.077821621612,3801.1602482714047,3831.779777523816,2000
2021-11-02,3952.18408203125,3990.233743929893,3892.9013208007814,3935.7233221695724,800
2021-11-03,3963.634765625,4035.1790756677747,3918.5896704452484,3947.2429988473946,500
2021-11-04,3971.95361328125,4043.5770365908193,3949.317573081914,3996.0225127265717,500
2021-11-05,3993.533203125,4021.346597228774,3952.2031681545373,4010.1321803766427,200
2021-11-08,4004.539794921875,4040.0501035915904,3928.4701573340526,4014.529044241361,500
2021-11-09,3997.6435546875,4021.3467659020025,3942.2536442889123,4012.256791972893,300
2021-11-10,3954.392578125,4053.2422495768897,3929.43053744163,3996.892296351065,400
2021-11-11,3960.4423828125,4002.6259212681443,3909.500263839872,3959.325385633393,400
2021-11-12,3967.253662109375,4037.0681530910674,3936.85434949291,3983.624862048835,300
2021-11-15,3969.201416015625,4032.4418472283814,3953.3937821149857,3979.097267570097,500
2021-11-16,3924.764404296875,3984.040562233585,3898.141590402476,3969.7059249749286,600
2021-11-17,3898.082275390625,3954.3827515444655,3889.629733987925,3934.620733397877,400
2021-11-18,3899.03076171875,3944.4665747767785,3830.807772863133,3901.6405477852804,600
2021-11-19,3880.247802734375,3973.165897765612,3845.6469551549285,3914.433517376903,1100
2021-11-22,3905.95068359375,3934.610057245919,3845.6364629865893,3878.8137856159187,700
2021-11-23,3944.46630859375,3966.7393938915557,3868.384038487049,3951.416163834155,600
2021-11-24,3895.076416015625,3954.3822542190214,3891.141824981184,3939.6126944250345,400
2021-11-26,3857.14453125,3914.839084151627,3845.637383169149,3906.930318325058,700
2021-11-29,3901.19580078125,3930.468221886166,3793.5774218949196,3898.398239432775,800
2021-11-30,3845.656494140625,3952.276621122757,3808.070071889944,3909.094593571493,2100
2021-12-01,3810.90771484375,3933.612077735455,3792.005650731737,3906.1983404918437,1000
2021-12-02,3751.71044921875,3855.522884014112,3712.17652037769,3822.711453601065,1500
2021-12-03,3776.42529296875,3880.237726484962,3732.6007728264185,3768.5264237861593,900
2021-12-06,3769.307861328125,3839.211425097783,3712.176876848764,3788.3878067294077,800
2021-12-07,3834.871337890625,3974.1544713630674,3769.3175031004016,3813.6954551671583,300
2021-12-08,3840.140625,3904.6069120138495,3782.3671501871763,3858.3507219259,800
2021-12-09,3855.513427734375,3872.319555041267,3815.979494388476,3868.879261230484,500
2021-12-10,3802.129150390625,3897.7559927357183,3786.3215148692248,3859.5270744136233,800
2021-12-13,3818.74755859375,3825.8555038263485,3713.1654884465197,3809.504092158502,1100
2021-12-14,3758.453125,3874.2868074407243,3720.797427409206,3797.413595155167,1700
2021-12-15,3685.81103515625,3792.480413247066,3684.8914673907025,3777.16707570882,900
2021-12-16,3696.151123046875,3746.7770615598033,3605.4079006619004,3728.2705821868376,1500
2021-12-17,3856.99560546875,3857.005501078408,3654.4324757724094,3726.6986649657433,2500
2021-12-20,3781.38818359375,3875.7792751183483,3717.139363199369,3875.7792751183483,800
2021-12-21,3795.24853515625,3853.575680780383,3782.7822373268996,3845.528376716063,400
2021-12-22,3797.0869140625,3855.4833247520046,3732.9370506572945,3782.9007117690726,800
2021-12-23,3886.159423828125,3886.525320052663,3781.5857518711646,3797.076967752269,700
2021-12-27,3866.664306640625,3914.83855060765,3834.7623075270394,3874.187383948274,600
2021-12-28,3916.14404296875,3953.3942619077657,3860.476160365044,3889.699107608402,800
2021-12-29,3870.361328125,3954.382051101527,3862.462459632178,3907.918062001084,300
2021-12-30,3918.8330078125,3921.5219592021563,3865.4191522168976,3868.157581663719,700
2021-12-31,3890.1337890625,3943.5080586985778,3875.018122915399,3934.403131354048,300
2022-01-03,3855.50341796875,3895.067036977729,3731.958642969305,3865.3794793041925,1400
2022-01-04,3809.2373046875,3884.163015202574,3801.1506590316885,3866.4969346540847,700
2022-01-05,3822.958251953125,3869.3133897189255,3801.1497768423933,3803.126967883664,600
2022-01-06,3855.75,3865.4085978253233,3801.9606030500004,3849.5910690362684,500
2022-01-07,3904.943115234375,3904.9530108456192,3815.979397940276,3850.520873735999,700
2022-01-10,3922.73779296875,3926.8109230529094,3806.093397437637,3904.4388771361655,600
2022-01-11,3949.419921875,3961.401817281183,3807.091831815343,3925.7134169481988,800
2022-01-12,3964.258544921875,3964.26844053234,3856.649815024734,3951.4364886792246,600
2022-01-13,3974.14453125,3974.15442686054,3900.9983503461913,3953.393918660522,700
2022-01-14,3881.236083984375,3961.2529510937566,3796.226761000238,3943.507708972431,1500
2022-01-18,3846.2890625,3944.496230988891,3828.622985587306,3875.294542725928,1400
2022-01-19,3856.244140625,3925.7028707436093,3818.99392942457,3855.907931263653,2100
2022-01-20,3731.2763671875,3944.4966074510908,3720.045814509338,3865.408956173876,1200
2022-01-21,3688.470458984375,3791.2646236570536,3688.450667761269,3717.1298395360695,500
2022-01-24,3599.209716796875,3713.165153365347,3559.0332969466076,3665.5742663558035,1000
2022-01-25,3611.33056640625,3658.150569750942,3559.0339450619267,3616.431633852471,700
2022-01-26,3618.240478515625,3646.682396173962,3572.883823553682,3617.271674036063,500
